Month;log_ipca_IRF;log_ipca_CI_lower;log_ipca_CI_upper;log_pimsa_IRF;log_pimsa_CI_lower;log_pimsa_CI_upper;log_fci_IRF;log_fci_CI_lower;log_fci_CI_upper;log_brlem_IRF;log_brlem_CI_lower;log_brlem_CI_upper;
1;-0,001;-0,007164479;0,004881507;-0,002037243;-0,037741703;0,033667216;-0,001825902;-0,004420528;0,000768723;0,008082053;-0,047863183;0,06402729;
2;-0,008;-0,016628249;0,000667805;-0,015171595;-0,058303733;0,027960542;-0,005067066;-0,009387503;-0,000746628;0,011036791;-0,058369858;0,080443441;
3;-0,009;-0,019095415;0,000200372;-0,037970568;-0,106233873;0,030292737;-0,003069987;-0,007914981;0,001775008;0,028572428;-0,047229144;0,104374001;
4;-0,008;-0,01962434;0,002835558;-0,045835826;-0,105828198;0,014156546;-0,002895804;-0,009216356;0,003424748;0,085631956;-0,000633587;0,171897499;
5;-0,008;-0,022173044;0,005847705;-0,050617726;-0,109038609;0,007803158;-0,003123854;-0,009297931;0,003050222;0,045328782;-0,039227289;0,129884853;
6;-0,003;-0,020874405;0,01556992;-0,062638302;-0,137102897;0,011826292;-0,003855818;-0,009728997;0,002017361;0,006997175;-0,126731378;0,140725728;
7;-0,005;-0,026309198;0,015495195;-0,058342406;-0,144440207;0,027755396;-0,004869685;-0,01026577;0,0005264;0,001403879;-0,097110292;0,09991805;
8;-0,010;-0,034116068;0,013946588;-0,067495478;-0,139141567;0,004150612;-0,004386353;-0,009484203;0,000711497;-0,014118852;-0,113064738;0,084827034;
9;-0,007;-0,031883514;0,017746948;-0,046645504;-0,105758069;0,012467061;-0,003941644;-0,009894084;0,002010797;-0,023795761;-0,117001469;0,069409948;
10;-0,011;-0,039892603;0,018796593;-0,040349043;-0,098393549;0,017695462;-0,00280503;-0,009558888;0,003948829;-0,030340527;-0,145652287;0,084971234;
11;-0,011;-0,039343072;0,018142095;-0,008411943;-0,083807197;0,066983311;0,00174126;-0,005211051;0,008693572;-0,06066795;-0,181711534;0,060375634;
12;-0,014;-0,042681963;0,015475524;-0,034051934;-0,10703452;0,038930652;0,001889591;-0,007283393;0,011062575;-0,062889203;-0,236179283;0,110400876;
13;-0,012;-0,043533579;0,019736179;-0,017874394;-0,072714006;0,036965218;0,000461824;-0,009191387;0,010115036;-0,062581115;-0,237863358;0,112701127;
14;-0,015;-0,04754745;0,016778785;-0,033628831;-0,076115356;0,008857694;0,002376424;-0,007231623;0,01198447;-0,080748811;-0,223894131;0,062396509;
15;-0,019;-0,052620323;0,014231045;-0,044852099;-0,100436766;0,010732568;0,002736457;-0,007178558;0,012651471;-0,067192139;-0,222782094;0,088397816;
16;-0,015;-0,05184876;0,021241853;-0,056148059;-0,108089198;-0,00420692;0,001482408;-0,010328594;0,01329341;-0,102391418;-0,216857017;0,012074181;
17;-0,023;-0,076323505;0,029566278;-0,095797224;-0,163380304;-0,028214145;0,001832001;-0,009101446;0,012765449;-0,153141338;-0,293664733;-0,012617943;
18;-0,025;-0,082149556;0,031603079;-0,095606432;-0,211134031;0,019921167;0,002615761;-0,006579153;0,011810675;-0,10826133;-0,232302667;0,015780007;
19;-0,023;-0,085162207;0,039943662;-0,100523845;-0,224035361;0,02298767;0,003549062;-0,003489792;0,010587915;-0,120562673;-0,269772698;0,028647352;
20;-0,023;-0,090873668;0,045691636;-0,129887764;-0,247921534;-0,011853995;0,001135074;-0,005259376;0,007529524;-0,11458567;-0,27045076;0,04127942;
21;-0,020;-0,090919856;0,050854604;-0,017592409;-0,100422688;0,06523787;0,001123213;-0,00524547;0,007491897;-0,047484569;-0,181347015;0,086377877;
22;-0,019;-0,089575816;0,052131926;-0,031247072;-0,109277552;0,046783409;0,00317472;-0,003807709;0,010157149;-0,066750105;-0,185268524;0,051768315;
23;-0,022;-0,095517488;0,05055016;-0,085364645;-0,182533181;0,01180389;0,002568067;-0,005711009;0,010847143;-0,066703544;-0,215838771;0,082431682;
24;-0,023;-0,09053624;0,044776277;-0,089179625;-0,190189296;0,011830045;-0,000402547;-0,012592811;0,011787717;-0,006855526;-0,17206375;0,158352697;
25;-0,025;-0,090931737;0,040876448;-0,046068966;-0,110020902;0,017882969;-0,000602621;-0,013188881;0,01198364;-0,076140679;-0,206177076;0,053895718;
26;-0,029;-0,086743703;0,029183631;0,00256958;-0,0905723;0,09571146;3,46E+11;-0,01311816;0,013187347;-0,024996078;-0,174182584;0,124190428;
27;-0,013;-0,063293007;0,036332318;0,007959895;-0,127780915;0,143700706;-0,000535193;-0,013593678;0,012523292;-0,045313707;-0,166823746;0,076196331;
28;-0,011;-0,061376538;0,038821101;0,003873177;-0,115239609;0,122985964;-0,000919789;-0,012352432;0,010512855;0,038556917;-0,072264508;0,149378343;
29;-0,005;-0,052530394;0,042998375;0,028029193;-0,075099195;0,131157581;0,000824279;-0,008806552;0,010455109;0,01377234;-0,094260675;0,121805354;
30;-0,007;-0,05011339;0,036367009;-0,037149676;-0,122326514;0,048027162;0,004748028;-0,003986044;0,0134821;0,090671694;-0,030851837;0,212195225;
31;-0,004;-0,045186299;0,038109775;-0,058942516;-0,131041741;0,013156709;0,007242655;-0,000406796;0,014892105;0,092314219;-0,009259302;0,193887741;
32;-0,004;-0,047510619;0,038941717;-0,054188191;-0,151534758;0,043158376;0,006082858;-0,000482372;0,012648087;0,026104005;-0,052768608;0,104976619;
33;-0,009;-0,049553185;0,03160847;-0,028669191;-0,119288206;0,061949823;0,008406255;0,001762941;0,015049569;0,046345433;-0,057212846;0,149903711;
34;-0,023;-0,070175159;0,02512651;-0,039065823;-0,131508766;0,053377121;0,010921007;0,003748966;0,018093048;0,01399639;-0,134212946;0,162205727;
35;-0,026;-0,072741369;0,020629472;-0,05890592;-0,188558077;0,070746238;0,005226925;-0,001576004;0,012029854;0,03768654;-0,133800801;0,209173881;
36;-0,031;-0,071505649;0,010336165;-0,053973486;-0,166260371;0,0583134;0,004014235;-0,003707072;0,011735541;0,017025383;-0,122485289;0,156536055;
37;-0,035;-0,075307466;0,005187333;-0,0214;-0,086172895;0,043278816;0,002308827;-0,005062218;0,009679873;0,058920544;-0,017402168;0,135243255;
